Data,ValorTotal
2025-07-15,3391.3733628396903
2025-07-16,3461.8404090013187
2025-07-17,3529.6756380984166
2025-07-18,3518.6574704694594
2025-07-19,3529.719679731453
2025-07-20,3566.0387855098124
2025-07-21,3607.913821738904
2025-07-22,3648.3167672993054
2025-07-23,3556.0176856081903
2025-07-24,3533.042280642982
2025-07-25,3530.208099081179
2025-07-26,3538.633120915858
2025-07-27,3601.9873895873234
2025-07-28,3569.81774971586
2025-07-29,3583.1257641577176
2025-07-30,3565.606418707533
2025-07-31,3503.6130890644595
2025-08-01,3420.9020743444808
2025-08-02,3369.958809891677
2025-08-03,3435.654998846408
2025-08-04,3483.0730375009093
2025-08-05,4045.952560025224
2025-08-06,4076.749568453016
2025-08-07,4172.724630804047
2025-08-08,4160.389025291109
2025-08-09,4219.024685094131
2025-08-10,4258.693163198526
2025-08-11,4232.644424579094
2025-08-12,4360.207508291766
2025-08-13,4436.535506735644
2025-08-14,4289.389781595535
2025-08-15,4257.847400521403
2025-08-16,4260.261172152044
2025-08-17,4271.17305296515
2025-08-18,4210.414593081387
2025-08-19,4098.590754526642
2025-08-20,4239.27774431296
2025-08-21,4153.783062980739
2025-08-22,4402.954480199375
2025-08-23,4367.156988018831
2025-08-24,4339.153200680498
2025-08-25,4134.754752058252
2025-08-26,4235.184844940724
2025-08-27,4218.792446795985
2025-08-28,4247.851356630836
2025-08-29,4148.760236533918
2025-08-30,4156.328577320581
2025-08-31,4147.974129895275
2025-09-01,4153.144436081041
2025-09-02,4225.341665881141
2025-09-03,4283.172705392769
2025-09-04,4208.015879610928
2025-09-05,4220.781948343897
2025-09-06,4203.670431963888
2025-09-07,4233.6850549582905
2025-09-08,4250.418700880035
2025-09-09,4852.352467953845
2025-09-10,4932.661535861648
2025-09-11,4974.272881341207
2025-09-12,5053.247513889949
2025-09-13,5039.897863426184
2025-09-14,5007.866987910741
2025-09-15,4954.14374053787
2025-09-16,5582.574340403075
2025-09-17,5590.783962080844
2025-09-18,5611.425923825255
2025-09-19,5535.279252652391
2025-09-20,5539.137194265144
2025-09-21,5520.014417441532
2025-09-22,5715.34257462624
2025-09-23,5698.790783813238
2025-09-24,5703.692253344108
2025-09-25,5558.223834087836
2025-09-26,5646.894949541725
2025-09-27,5641.25051372742
2025-09-28,5729.7257391697085
2025-09-29,5787.4361367333
2025-09-30,5746.08456787851
2025-10-01,5906.068838637322
2025-10-02,5997.296995067117
2025-10-03,6042.795461499773
2025-10-04,6030.077890992679
2025-10-05,6058.110416076112
2025-10-06,6140.777358237229
2025-10-07,5992.201479070461
2025-10-08,6104.669282680429
2025-10-09,5985.508514540855
2025-10-10,5686.373816881571
2025-10-11,5606.427539103698
2025-10-12,5822.397524086744
2025-10-13,5957.54463190716
